epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,497.885,2.16708,1.53722,2.39274,0.77475,0.86593,0.88284,0.60753,2.41361,1.44619,2.72458,0.000947999,0.000947999,0.000947999
36,511.03,2.17244,1.5337,2.40276,0.80002,0.88678,0.89172,0.61676,2.36197,1.43151,2.68999,0.000933851,0.000933851,0.000933851
37,524.107,2.15553,1.52791,2.38078,0.80102,0.87991,0.89085,0.61093,2.22579,1.38444,2.56597,0.000919704,0.000919704,0.000919704
38,537.124,2.16476,1.52259,2.41079,0.79668,0.85234,0.88166,0.61963,2.22429,1.39068,2.57008,0.000905557,0.000905557,0.000905557
39,550.251,2.16298,1.49155,2.39353,0.80476,0.9291,0.89702,0.63023,2.23216,1.36192,2.59021,0.00089141,0.00089141,0.00089141
40,563.272,2.15251,1.50624,2.38827,0.82947,0.85623,0.90616,0.6201,2.36004,1.60335,2.69019,0.000877263,0.000877263,0.000877263
41,576.308,2.14506,1.47835,2.365,0.77473,0.92376,0.89718,0.60746,2.46856,1.47522,2.7486,0.000863116,0.000863116,0.000863116
42,589.489,2.13727,1.4654,2.37124,0.80665,0.86166,0.88395,0.61992,2.22145,1.42297,2.57987,0.000848969,0.000848969,0.000848969
43,602.559,2.115,1.45679,2.36086,0.80129,0.88263,0.88909,0.6241,2.26077,1.37052,2.61671,0.000834822,0.000834822,0.000834822
44,615.636,2.12525,1.43838,2.36655,0.79448,0.89204,0.88906,0.62211,2.26392,1.50026,2.59683,0.000820675,0.000820675,0.000820675
45,628.688,2.10812,1.44089,2.35515,0.80939,0.9018,0.89099,0.61914,2.2724,1.4047,2.59764,0.000806528,0.000806528,0.000806528
46,641.733,2.08601,1.43569,2.36061,0.79472,0.87033,0.89072,0.62266,2.26905,1.39326,2.60522,0.00079238,0.00079238,0.00079238
47,654.902,2.1191,1.42914,2.34395,0.79062,0.8504,0.87919,0.60508,2.36825,1.49916,2.65321,0.000778233,0.000778233,0.000778233
48,667.941,2.11372,1.42646,2.37737,0.7835,0.85993,0.8779,0.62435,2.23696,1.41796,2.58578,0.000764086,0.000764086,0.000764086
49,681.135,2.10199,1.41725,2.36422,0.7858,0.85706,0.86258,0.61701,2.24296,1.3633,2.59444,0.000749939,0.000749939,0.000749939
50,694.198,2.07679,1.40071,2.32768,0.82976,0.85636,0.88462,0.62125,2.20862,1.31822,2.56606,0.000735792,0.000735792,0.000735792
51,707.212,2.0688,1.4137,2.33833,0.82431,0.89088,0.89879,0.62835,2.26378,1.42208,2.59077,0.000721645,0.000721645,0.000721645
52,720.386,2.06867,1.40517,2.33139,0.80118,0.90894,0.89707,0.63022,2.21247,1.30774,2.55863,0.000707498,0.000707498,0.000707498
53,733.49,2.0826,1.38317,2.34062,0.79169,0.91119,0.89859,0.61984,2.36356,1.48543,2.68059,0.000693351,0.000693351,0.000693351
54,746.605,2.03815,1.37082,2.32553,0.7963,0.90527,0.89178,0.617,2.32759,1.74227,2.66098,0.000679204,0.000679204,0.000679204
55,759.675,2.07484,1.38277,2.35348,0.83842,0.8443,0.8862,0.62121,2.23752,1.32964,2.61444,0.000665057,0.000665057,0.000665057
56,772.762,2.02226,1.3531,2.31863,0.8089,0.85145,0.87655,0.61529,2.32353,1.41731,2.63546,0.000650909,0.000650909,0.000650909
57,785.897,2.03773,1.35954,2.32528,0.75644,0.90785,0.8776,0.60993,2.42022,1.44225,2.73015,0.000636762,0.000636762,0.000636762
58,798.978,2.04458,1.34371,2.33819,0.75976,0.89491,0.88854,0.62548,2.31759,1.49425,2.6669,0.000622615,0.000622615,0.000622615
59,812.217,2.04173,1.34478,2.31813,0.7961,0.90451,0.89119,0.62812,2.22214,1.33231,2.57312,0.000608468,0.000608468,0.000608468
60,825.245,2.03767,1.33579,2.31334,0.77253,0.89088,0.87476,0.61888,2.26004,1.49901,2.60143,0.000594321,0.000594321,0.000594321
61,838.401,2.02321,1.33159,2.30343,0.79722,0.89653,0.89196,0.62559,2.22979,1.40029,2.59198,0.000580174,0.000580174,0.000580174
62,851.475,2.01811,1.31682,2.31059,0.78455,0.92135,0.9032,0.63473,2.20197,1.42797,2.56313,0.000566027,0.000566027,0.000566027
63,864.473,1.96102,1.29976,2.28113,0.80573,0.88522,0.89408,0.63649,2.17913,1.33167,2.53443,0.00055188,0.00055188,0.00055188
64,877.578,2.00424,1.31125,2.31939,0.79904,0.8763,0.89544,0.62857,2.32803,1.33485,2.6522,0.000537733,0.000537733,0.000537733
65,890.644,1.98194,1.27475,2.26548,0.79134,0.89025,0.8858,0.61866,2.27434,1.32636,2.62368,0.000523586,0.000523586,0.000523586
66,903.734,1.95942,1.25517,2.27508,0.80221,0.89351,0.90065,0.62268,2.36627,1.37698,2.68354,0.000509438,0.000509438,0.000509438
67,916.749,1.97895,1.29851,2.29064,0.75591,0.89658,0.87738,0.6215,2.34608,1.51061,2.65225,0.000495291,0.000495291,0.000495291
68,931.951,1.96346,1.24517,2.26634,0.78013,0.8537,0.85287,0.60768,2.23751,1.35107,2.60006,0.000481144,0.000481144,0.000481144
69,945.652,1.97205,1.26741,2.28302,0.80581,0.90264,0.89763,0.63178,2.23604,1.38834,2.58362,0.000466997,0.000466997,0.000466997
70,959.457,1.95645,1.27055,2.28139,0.79192,0.87415,0.89941,0.63471,2.26821,1.48699,2.61353,0.00045285,0.00045285,0.00045285
71,972.683,1.97016,1.28868,2.25561,0.77241,0.89654,0.88915,0.63179,2.29932,1.38682,2.66527,0.000438703,0.000438703,0.000438703
72,985.727,1.94535,1.24763,2.28613,0.79873,0.88465,0.88912,0.63468,2.24199,1.35042,2.60977,0.000424556,0.000424556,0.000424556
73,998.972,1.93145,1.25205,2.24948,0.82312,0.84745,0.887,0.63171,2.26883,1.36719,2.63251,0.000410409,0.000410409,0.000410409
74,1012.05,1.92602,1.24493,2.24607,0.76585,0.91699,0.89115,0.62645,2.34669,1.33939,2.69614,0.000396262,0.000396262,0.000396262
75,1025.06,1.90654,1.21503,2.25016,0.83604,0.89072,0.91215,0.63493,2.29111,1.45947,2.64869,0.000382115,0.000382115,0.000382115
76,1038.18,1.91491,1.22937,2.2597,0.79323,0.8827,0.89125,0.62229,2.23434,1.43361,2.60305,0.000367967,0.000367967,0.000367967
77,1051.18,1.89491,1.203,2.24401,0.7824,0.91358,0.89029,0.62454,2.30021,1.33139,2.65412,0.00035382,0.00035382,0.00035382
78,1064.3,1.92906,1.23046,2.26138,0.84412,0.81789,0.88582,0.62921,2.27105,1.39016,2.61203,0.000339673,0.000339673,0.000339673
79,1077.35,1.90139,1.21158,2.23874,0.8099,0.89023,0.90168,0.62324,2.31647,1.40889,2.67025,0.000325526,0.000325526,0.000325526
80,1090.39,1.89858,1.22496,2.25527,0.77717,0.9248,0.88995,0.62532,2.27435,1.39582,2.62158,0.000311379,0.000311379,0.000311379
81,1103.57,1.89508,1.20647,2.23859,0.81157,0.86412,0.88856,0.62846,2.29913,1.41193,2.6599,0.000297232,0.000297232,0.000297232
82,1116.63,1.87336,1.1762,2.2311,0.81294,0.89866,0.90016,0.62561,2.31781,1.40704,2.67683,0.000283085,0.000283085,0.000283085
83,1129.82,1.86709,1.18703,2.22134,0.82856,0.9046,0.89806,0.63017,2.31889,1.41883,2.68998,0.000268938,0.000268938,0.000268938
84,1142.82,1.8588,1.17386,2.22839,0.77802,0.88605,0.88185,0.62244,2.27378,1.44024,2.64832,0.000254791,0.000254791,0.000254791
85,1155.9,1.87283,1.16918,2.22839,0.84564,0.84411,0.89788,0.6292,2.26038,1.39522,2.62601,0.000240644,0.000240644,0.000240644
86,1168.98,1.88313,1.16583,2.23358,0.79569,0.8879,0.897,0.62378,2.37691,1.44949,2.71935,0.000226497,0.000226497,0.000226497
87,1181.96,1.8466,1.1363,2.23556,0.76598,0.89808,0.88584,0.62702,2.28052,1.43951,2.65534,0.000212349,0.000212349,0.000212349
88,1195.11,1.83775,1.152,2.21068,0.76963,0.89188,0.8939,0.6253,2.29001,1.42316,2.65576,0.000198202,0.000198202,0.000198202
89,1208.27,1.82643,1.1352,2.22061,0.84089,0.86896,0.89912,0.62693,2.35221,1.41187,2.70521,0.000184055,0.000184055,0.000184055
90,1221.26,1.84227,1.15154,2.21028,0.77892,0.89717,0.88809,0.62825,2.32759,1.45615,2.68959,0.000169908,0.000169908,0.000169908
91,1235.75,1.80444,1.07636,2.295,0.85427,0.84185,0.89861,0.62847,2.29945,1.50096,2.68129,0.000155761,0.000155761,0.000155761
92,1248.47,1.77807,1.03252,2.2792,0.85151,0.87664,0.89957,0.62532,2.31907,1.44881,2.69714,0.000141614,0.000141614,0.000141614
93,1261.25,1.77509,1.02293,2.27003,0.79282,0.89224,0.89126,0.62241,2.2918,1.44851,2.68379,0.000127467,0.000127467,0.000127467
94,1273.85,1.74877,1.00466,2.26235,0.79783,0.8886,0.90112,0.62667,2.3247,1.46205,2.68802,0.00011332,0.00011332,0.00011332
95,1286.5,1.72612,0.99147,2.25448,0.82828,0.87513,0.89431,0.61889,2.30997,1.50783,2.68949,9.91726e-05,9.91726e-05,9.91726e-05
96,1299.24,1.73605,0.98648,2.24651,0.7972,0.87513,0.89237,0.62368,2.29323,1.43275,2.6867,8.50255e-05,8.50255e-05,8.50255e-05
97,1311.94,1.70985,0.96748,2.23175,0.80594,0.88819,0.89779,0.6236,2.32744,1.48911,2.70886,7.08784e-05,7.08784e-05,7.08784e-05
98,1324.67,1.69658,0.97105,2.23497,0.77975,0.89892,0.89264,0.62826,2.31105,1.48417,2.68586,5.67313e-05,5.67313e-05,5.67313e-05
99,1337.34,1.71507,0.96138,2.23935,0.83202,0.85633,0.89617,0.62895,2.30626,1.46422,2.68962,4.25842e-05,4.25842e-05,4.25842e-05
100,1350.09,1.6915,0.94728,2.20901,0.81813,0.8576,0.8917,0.6243,2.31353,1.47303,2.69876,2.84371e-05,2.84371e-05,2.84371e-05
