epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.07,2.66116,5.54468,2.76316,0.02344,0.66138,0.37141,0.24642,2.33385,5.54368,2.45551,0.00046641,0.00046641,0.00046641
2,65.3954,2.49224,3.16583,2.57972,0.87852,0.21476,0.45409,0.30987,2.28278,3.41534,2.57332,0.00093341,0.00093341,0.00093341
3,78.764,2.54755,2.75888,2.61979,0.77427,0.52778,0.69245,0.44891,2.39439,2.45349,2.72205,0.00139098,0.00139098,0.00139098
4,91.8712,2.47774,2.53465,2.55895,0.56078,0.81472,0.75459,0.50004,2.37324,2.11833,2.73154,0.00138656,0.00138656,0.00138656
5,105.009,2.44012,2.35671,2.52305,0.64004,0.79311,0.77036,0.50785,2.36696,2.17142,2.66595,0.00137241,0.00137241,0.00137241
6,118.135,2.41045,2.25334,2.50965,0.68024,0.8287,0.77935,0.52062,2.45029,1.91323,2.77424,0.00135826,0.00135826,0.00135826
7,131.239,2.37819,2.18494,2.4891,0.67146,0.7977,0.79032,0.53581,2.32595,2.00162,2.6308,0.00134412,0.00134412,0.00134412
8,144.423,2.38704,2.10619,2.48513,0.68359,0.82809,0.82257,0.54079,2.36227,1.84963,2.7024,0.00132997,0.00132997,0.00132997
9,157.538,2.36191,2.04235,2.47111,0.75136,0.83374,0.82133,0.56138,2.39588,1.83689,2.70025,0.00131582,0.00131582,0.00131582
10,170.726,2.38892,2.02374,2.47606,0.69347,0.85388,0.80108,0.5461,2.3744,1.94553,2.64333,0.00130168,0.00130168,0.00130168
11,183.786,2.35512,1.95678,2.49433,0.78838,0.79018,0.84726,0.57093,2.43548,1.67536,2.67085,0.00128753,0.00128753,0.00128753
12,196.87,2.33791,1.91527,2.47456,0.75481,0.82181,0.84843,0.55976,2.36214,1.6513,2.66541,0.00127338,0.00127338,0.00127338
13,209.939,2.34582,1.88637,2.5068,0.77353,0.79971,0.85043,0.59037,2.24612,1.64611,2.62373,0.00125923,0.00125923,0.00125923
14,223.021,2.35562,1.83872,2.50103,0.80121,0.82446,0.85975,0.59301,2.24178,1.54073,2.59003,0.00124509,0.00124509,0.00124509
15,236.166,2.35764,1.85373,2.50454,0.78085,0.80441,0.86291,0.59158,2.21336,1.63924,2.58231,0.00123094,0.00123094,0.00123094
16,249.269,2.34868,1.80651,2.46259,0.73991,0.90117,0.87214,0.60322,2.20476,1.5971,2.56452,0.00121679,0.00121679,0.00121679
17,262.469,2.30664,1.78484,2.45864,0.75107,0.86738,0.89212,0.60949,2.27418,1.52179,2.61014,0.00120265,0.00120265,0.00120265
18,275.481,2.26571,1.72757,2.45785,0.80933,0.82071,0.88199,0.59682,2.4568,1.63142,2.76108,0.0011885,0.0011885,0.0011885
19,288.51,2.28727,1.71016,2.44483,0.77847,0.86818,0.87347,0.57045,2.38352,1.65208,2.69738,0.00117435,0.00117435,0.00117435
20,301.615,2.279,1.69238,2.44791,0.75706,0.84045,0.8629,0.57754,2.36052,1.61742,2.68372,0.00116021,0.00116021,0.00116021
21,314.703,2.26599,1.6727,2.45564,0.77671,0.85706,0.85799,0.57973,2.27243,1.63445,2.62601,0.00114606,0.00114606,0.00114606
22,327.756,2.26352,1.71086,2.46701,0.78096,0.8654,0.88256,0.60911,2.22803,1.62041,2.5718,0.00113191,0.00113191,0.00113191
23,340.839,2.23135,1.63039,2.43497,0.83608,0.83536,0.89116,0.60579,2.38103,1.53344,2.71401,0.00111776,0.00111776,0.00111776
24,353.898,2.2527,1.66369,2.42814,0.78101,0.86852,0.88074,0.58572,2.3741,1.60823,2.71105,0.00110362,0.00110362,0.00110362
25,366.999,2.24195,1.63487,2.43724,0.79508,0.92319,0.89682,0.62021,2.25208,1.46537,2.58861,0.00108947,0.00108947,0.00108947
26,379.995,2.22431,1.6078,2.42496,0.79839,0.86478,0.88047,0.61851,2.24552,1.43993,2.58944,0.00107532,0.00107532,0.00107532
27,393.222,2.24642,1.62527,2.41069,0.79959,0.80485,0.84835,0.55962,2.67194,1.74807,2.91508,0.00106118,0.00106118,0.00106118
28,406.278,2.2462,1.64295,2.4349,0.81612,0.85244,0.88907,0.62297,2.18857,1.42925,2.54984,0.00104703,0.00104703,0.00104703
29,419.395,2.20032,1.57002,2.3945,0.76275,0.87172,0.88373,0.61161,2.2323,1.50246,2.57937,0.00103288,0.00103288,0.00103288
30,432.566,2.18494,1.58451,2.40105,0.82878,0.8877,0.90979,0.6308,2.21452,1.45648,2.5836,0.00101873,0.00101873,0.00101873
31,445.64,2.23262,1.60578,2.41976,0.78763,0.874,0.87486,0.58678,2.41946,1.58695,2.69108,0.00100459,0.00100459,0.00100459
32,458.778,2.2331,1.56569,2.40345,0.7978,0.87729,0.87323,0.59442,2.54625,1.769,2.77116,0.00099044,0.00099044,0.00099044
33,471.851,2.18678,1.56426,2.40701,0.82233,0.8527,0.9016,0.61981,2.28552,1.39762,2.64773,0.000976293,0.000976293,0.000976293
34,484.827,2.15977,1.52689,2.38981,0.80193,0.83018,0.88833,0.61603,2.32518,1.42893,2.66401,0.000962146,0.000962146,0.000962146
