epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,476.705,1.04147,0.74439,1.17899,0.81246,0.90065,0.89693,0.62471,1.17248,0.74405,1.28048,0.000848969,0.000848969,0.000848969
43,487.727,1.03483,0.74331,1.17852,0.84692,0.89725,0.928,0.65215,1.08454,0.72285,1.25014,0.000834822,0.000834822,0.000834822
44,498.819,1.03989,0.72912,1.17822,0.83253,0.91729,0.92417,0.64757,1.10834,0.77243,1.26248,0.000820675,0.000820675,0.000820675
45,509.942,1.0338,0.73253,1.16852,0.83916,0.92421,0.92333,0.64806,1.09624,0.71974,1.23256,0.000806528,0.000806528,0.000806528
46,521.061,1.01099,0.72157,1.16223,0.85171,0.89748,0.90081,0.62825,1.11203,0.72852,1.26252,0.00079238,0.00079238,0.00079238
47,532.154,1.0272,0.72069,1.16478,0.83695,0.92014,0.91891,0.63601,1.10082,0.77752,1.2773,0.000778233,0.000778233,0.000778233
48,543.297,1.02132,0.72111,1.17384,0.81279,0.89567,0.92235,0.62885,1.10214,0.76165,1.27104,0.000764086,0.000764086,0.000764086
49,554.426,1.02261,0.72374,1.17413,0.82839,0.868,0.89752,0.61685,1.11092,0.81463,1.26355,0.000749939,0.000749939,0.000749939
50,565.507,1.01278,0.71413,1.15375,0.85039,0.89097,0.91278,0.63841,1.09177,0.71144,1.2457,0.000735792,0.000735792,0.000735792
51,576.673,1.01555,0.714,1.15796,0.83781,0.90954,0.90333,0.63537,1.09417,0.7275,1.25738,0.000721645,0.000721645,0.000721645
52,587.714,1.01181,0.71308,1.1601,0.82978,0.91702,0.91958,0.62929,1.12039,0.70841,1.28569,0.000707498,0.000707498,0.000707498
53,598.785,1.00107,0.69562,1.15713,0.84068,0.89746,0.90717,0.62655,1.12675,0.74091,1.2902,0.000693351,0.000693351,0.000693351
54,609.938,0.99231,0.69151,1.15079,0.82886,0.92991,0.91381,0.6228,1.25232,0.7908,1.36826,0.000679204,0.000679204,0.000679204
55,621.089,1.01333,0.70841,1.17076,0.85279,0.91336,0.91232,0.62571,1.14002,0.72446,1.28777,0.000665057,0.000665057,0.000665057
56,632.207,0.98237,0.68723,1.15055,0.83789,0.90508,0.90367,0.62549,1.14093,0.71402,1.28443,0.000650909,0.000650909,0.000650909
57,643.276,0.99168,0.69048,1.15104,0.80993,0.92151,0.90236,0.61823,1.2241,0.74872,1.32781,0.000636762,0.000636762,0.000636762
58,654.426,0.99269,0.68655,1.15177,0.8595,0.89518,0.92403,0.63548,1.11706,0.72529,1.26923,0.000622615,0.000622615,0.000622615
59,665.477,0.99367,0.67957,1.15006,0.84913,0.88225,0.91311,0.64091,1.08998,0.68913,1.25107,0.000608468,0.000608468,0.000608468
60,676.681,0.98371,0.67146,1.14324,0.82868,0.92683,0.91785,0.62802,1.12184,0.7857,1.28805,0.000594321,0.000594321,0.000594321
61,687.796,0.9737,0.66748,1.13204,0.81572,0.92602,0.91831,0.63329,1.11483,0.69892,1.29193,0.000580174,0.000580174,0.000580174
62,698.909,0.97687,0.66791,1.14028,0.83776,0.91974,0.92739,0.6365,1.11687,0.70042,1.2807,0.000566027,0.000566027,0.000566027
63,710.129,0.956,0.65591,1.13115,0.83135,0.90084,0.90357,0.64146,1.10076,0.73702,1.27109,0.00055188,0.00055188,0.00055188
